age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
38,technician,married,professional.course,no,yes,no,cellular,aug,mon,479.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
36,technician,divorced,professional.course,no,no,no,telephone,may,wed,446.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
28,blue-collar,married,basic.6y,unknown,,no,cellular,may,mon,68.0,2.0,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
47,admin,single,unknown,unknown,no,no,telephone,may,thu,127.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
34,admin,married,university.degree,no,no,no,cellular,aug,tue,109.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
38,technician,married,university.degree,no,yes,yes,cellular,mar,tue,113.0,1.0,999,1,failure,-1.8,92.843,-50,1.687,5099.1,no
33,services,married,high.school,unknown,yes,no,telephone,jun,mon,393.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
51,technician,single,university.degree,no,no,no,cellular,jun,fri,151.0,2.0,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no
30,blue-collar,single,basic.4y,unknown,yes,no,telephone,jun,tue,256.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
48,technician,married,university.degree,no,no,no,cellular,aug,thu,42.0,7.0,999,0,nonexistent,1.4,,-36.1,4.962,5228.1,no
28,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,525.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
36,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,57.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
46,management,divorced,high.school,no,no,no,cellular,nov,wed,499.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
31,technician,single,unknown,no,yes,no,cellular,may,wed,84.0,1.0,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
20,student,single,unknown,no,no,no,cellular,oct,mon,137.0,3.0,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no
35,services,married,high.school,unknown,yes,no,cellular,may,tue,31.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
38,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,jun,fri,430.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
76,retired,married,university.degree,no,no,no,cellular,aug,thu,126.0,1.0,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no
45,entrepreneur,divorced,professional.course,no,yes,no,cellular,jul,tue,211.0,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,housemaid,married,basic.4y,no,yes,yes,cellular,may,fri,340.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
39,management,single,university.degree,unknown,no,no,cellular,may,thu,412.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
32,admin,married,university.degree,no,no,no,telephone,nov,thu,132.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.592,5195.8,no
29,admin,single,basic.9y,no,no,no,cellular,may,mon,79.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
44,services,married,professional.course,no,no,no,cellular,aug,mon,341.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
32,services,married,high.school,no,no,yes,cellular,jul,fri,157.0,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
56,retired,married,university.degree,no,yes,no,cellular,jun,wed,252.0,1.0,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no
33,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,263.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
39,management,married,high.school,no,no,no,cellular,aug,fri,215.0,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
24,technician,married,university.degree,no,yes,yes,cellular,sep,tue,89.0,2.0,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes
33,admin,single,university.degree,no,yes,no,cellular,may,thu,143.0,1.0,999,0,nonexistent,,92.893,-46.2,1.327,5099.1,no
58,entrepreneur,divorced,university.degree,no,no,no,telephone,jun,thu,40.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
29,admin,single,university.degree,no,yes,no,telephone,jun,fri,10.0,27.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
31,admin,married,university.degree,no,yes,no,cellular,aug,thu,113.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
27,admin,married,university.degree,no,no,no,telephone,may,wed,191.0,5.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
60,admin,divorced,professional.course,no,yes,no,cellular,sep,wed,481.0,1.0,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6,yes
55,entrepreneur,married,professional.course,no,yes,yes,cellular,oct,mon,233.0,1.0,999,2,failure,-3.4,92.431,-26.9,0.739,5017.5,no
37,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,204.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
52,admin,married,unknown,no,yes,no,telephone,apr,wed,403.0,1.0,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes
46,services,married,high.school,no,yes,no,cellular,apr,mon,180.0,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
42,blue-collar,divorced,basic.6y,no,yes,no,cellular,may,wed,16.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
35,admin,single,university.degree,no,yes,no,cellular,jul,mon,447.0,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
49,technician,divorced,unknown,no,yes,yes,cellular,oct,thu,81.0,1.0,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,no
29,services,divorced,high.school,no,no,yes,telephone,jun,mon,361.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
32,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,1091.0,2.0,5,1,success,-0.1,93.2,-42,4.191,5195.8,yes
37,self-employed,married,university.degree,no,no,no,cellular,may,fri,395.0,1.0,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
39,technician,single,professional.course,unknown,no,no,telephone,jun,mon,432.0,4.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
51,services,married,high.school,unknown,yes,no,telephone,jul,mon,596.0,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
28,admin,single,high.school,no,yes,no,cellular,may,tue,59.0,3.0,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
34,management,married,university.degree,no,yes,no,cellular,may,wed,77.0,4.0,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
31,technician,single,high.school,no,yes,yes,cellular,aug,tue,768.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
31,admin,married,university.degree,no,yes,no,cellular,aug,thu,96.0,5.0,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
31,admin,single,university.degree,no,yes,no,telephone,jun,wed,357.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
38,self-employed,single,university.degree,no,no,no,telephone,may,thu,459.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
33,unemployed,married,basic.9y,no,no,no,telephone,jun,fri,11.0,6.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
32,technician,single,university.degree,no,no,no,cellular,aug,tue,264.0,12.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
54,technician,married,professional.course,unknown,yes,no,cellular,apr,mon,698.0,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
41,admin,divorced,high.school,no,yes,no,telephone,jun,tue,204.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
59,services,married,basic.4y,unknown,no,no,cellular,aug,thu,,7.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
57,retired,married,university.degree,no,yes,no,cellular,apr,thu,374.0,1.0,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no
38,entrepreneur,divorced,university.degree,no,yes,no,cellular,nov,thu,252.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
46,admin,married,university.degree,no,yes,no,telephone,may,tue,158.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,unemployed,single,university.degree,no,yes,yes,cellular,nov,tue,95.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
47,services,single,basic.9y,no,unknown,unknown,telephone,jun,thu,835.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
45,admin,single,university.degree,no,no,no,cellular,aug,thu,505.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
36,blue-collar,married,basic.6y,no,yes,no,telephone,jul,wed,16.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
40,unemployed,single,high.school,no,yes,no,cellular,jul,mon,300.0,5.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
38,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,180.0,2.0,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
44,blue-collar,married,high.school,unknown,no,no,telephone,jun,tue,390.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
25,self-employed,married,university.degree,no,yes,no,telephone,may,fri,274.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,blue-collar,single,basic.6y,no,yes,no,telephone,jul,tue,135.0,5.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
43,management,married,professional.course,no,no,no,cellular,nov,tue,257.0,2.0,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
58,retired,married,basic.6y,unknown,no,no,telephone,may,mon,268.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,technician,married,professional.course,no,yes,no,telephone,may,wed,157.0,6.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
15,management,married,university.degree,no,no,no,cellular,jul,tue,477.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
16,admin,married,unknown,no,no,no,cellular,aug,tue,91.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
13,management,married,university.degree,unknown,no,yes,cellular,apr,fri,76.0,1.0,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
58,admin,married,high.school,unknown,yes,no,cellular,jul,tue,103.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
37,services,married,high.school,no,yes,yes,cellular,may,thu,436.0,3.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
38,admin,single,unknown,no,yes,no,cellular,may,fri,191.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
33,services,single,basic.9y,no,yes,no,cellular,apr,thu,483.0,2.0,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
45,services,married,high.school,unknown,yes,no,cellular,may,fri,250.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
44,entrepreneur,married,professional.course,no,no,no,telephone,may,mon,259.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
38,blue-collar,married,basic.6y,no,yes,no,telephone,jul,thu,389.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
34,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,7.0,1.0,999,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,no
47,management,married,university.degree,no,yes,no,cellular,jul,wed,123.0,1.0,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,no
59,admin,married,university.degree,no,yes,yes,cellular,jul,wed,92.0,1.0,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,no
51,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,thu,297.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
31,blue-collar,married,basic.6y,no,yes,no,telephone,jun,wed,406.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
56,management,married,university.degree,no,yes,yes,cellular,nov,wed,104.0,1.0,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
39,admin,married,university.degree,no,no,no,telephone,jun,mon,135.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
41,entrepreneur,married,university.degree,no,yes,no,cellular,nov,tue,854.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,yes
41,management,divorced,basic.6y,no,yes,no,cellular,nov,thu,147.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
53,services,married,high.school,unknown,no,no,telephone,may,thu,203.0,4.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
35,blue-collar,married,high.school,no,no,yes,cellular,jul,mon,149.0,4.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
58,retired,married,basic.9y,no,no,yes,cellular,may,wed,144.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
25,self-employed,married,professional.course,no,yes,no,telephone,jun,wed,394.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
35,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,tue,523.0,1.0,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
28,services,single,high.school,no,no,no,cellular,jul,wed,73.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
55,blue-collar,married,professional.course,no,yes,yes,cellular,may,fri,197.0,3.0,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
54,entrepreneur,married,basic.4y,unknown,no,yes,telephone,may,thu,108.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
45,technician,divorced,basic.9y,unknown,no,no,cellular,jul,wed,80.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
32,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,114.0,1.0,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
50,admin,married,basic.9y,unknown,yes,no,cellular,aug,thu,122.0,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
75,retired,married,basic.4y,no,no,no,cellular,apr,tue,109.0,1.0,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
33,self-employed,divorced,unknown,no,no,no,telephone,may,wed,1161.0,4.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
29,management,married,university.degree,no,no,yes,cellular,aug,wed,181.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
45,management,married,university.degree,no,yes,no,cellular,may,thu,239.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
38,admin,divorced,university.degree,no,no,no,cellular,apr,mon,360.0,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
24,services,single,professional.course,no,yes,no,telephone,may,mon,314.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
41,technician,married,professional.course,no,yes,no,cellular,aug,mon,984.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
58,retired,divorced,high.school,no,yes,no,cellular,jun,tue,663.0,1.0,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
34,admin,married,university.degree,no,no,yes,telephone,may,wed,157.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,admin,married,university.degree,no,no,no,cellular,nov,mon,141.0,2.0,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,no
37,technician,divorced,professional.course,no,no,no,telephone,may,wed,374.0,1.0,999,0,nonexistent,,93.994,-36.4,4.856,5191,no
53,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,wed,706.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
54,technician,divorced,professional.course,no,,yes,cellular,jul,tue,797.0,14.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,technician,divorced,professional.course,no,yes,no,cellular,nov,tue,250.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
42,admin,married,high.school,no,yes,no,cellular,jul,fri,311.0,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
28,technician,single,professional.course,no,yes,no,cellular,aug,thu,63.0,2.0,3,1,success,-2.9,92.201,,0.851,5076.2,yes
33,services,single,high.school,no,yes,no,telephone,may,fri,111.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
41,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,148.0,2.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
31,services,married,high.school,no,no,yes,cellular,nov,thu,49.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
40,technician,married,basic.9y,unknown,no,yes,telephone,may,thu,171.0,4.0,999,0,nonexistent,1.1,93.994,-36.4,,5191,no
53,unknown,married,basic.9y,no,no,yes,cellular,nov,wed,242.0,1.0,999,1,failure,-3.4,92.649,-30.1,0.716,5017.5,no
40,admin,divorced,university.degree,no,yes,no,cellular,aug,mon,257.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
82,housemaid,married,basic.4y,no,no,no,telephone,sep,tue,279.0,3.0,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,yes
28,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,113.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
30,admin,married,high.school,unknown,yes,no,cellular,nov,wed,246.0,3.0,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
31,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,309.0,1.0,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,yes
32,technician,single,university.degree,no,yes,no,cellular,aug,wed,168.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
54,blue-collar,married,basic.4y,no,yes,no,cellular,aug,tue,153.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
31,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,152.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
50,services,married,unknown,no,yes,no,cellular,aug,thu,90.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
47,technician,single,unknown,no,no,no,cellular,jul,tue,117.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
31,admin,single,high.school,no,yes,yes,cellular,may,wed,149.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
32,unemployed,married,high.school,no,yes,no,cellular,nov,thu,640.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
46,admin,single,high.school,no,yes,no,cellular,nov,mon,199.0,2.0,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,no
47,admin,single,high.school,no,no,no,cellular,may,Monday,1114.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
32,admin,single,high.school,no,no,no,cellular,nov,mon,74.0,2.0,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,no
52,services,divorced,high.school,unknown,no,no,cellular,nov,mon,190.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
45,admin,married,high.school,no,yes,no,cellular,oct,fri,738.0,3.0,6,1,success,-1.1,94.601,-49.5,1.029,4963.6,yes
32,admin,married,university.degree,no,yes,no,cellular,may,fri,374.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
71,blue-collar,divorced,basic.4y,unknown,no,no,cellular,aug,thu,224.0,1.0,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,no
49,services,married,high.school,no,yes,no,telephone,may,fri,344.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
46,admin,married,high.school,no,yes,yes,telephone,jun,wed,148.0,10.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
46,blue-collar,married,professional.course,no,no,no,cellular,nov,Friday,383.0,1.0,999,0,nonexistent,-1.1,,-50.8,1.028,4963.6,no
38,admin,married,university.degree,no,yes,no,cellular,aug,tue,35.0,6.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
57,services,married,professional.course,unknown,no,no,cellular,aug,mon,153.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
41,services,single,high.school,unknown,unknown,unknown,cellular,may,mon,772.0,2.0,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
44,technician,married,professional.course,no,no,no,telephone,may,fri,124.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
47,technician,married,university.degree,no,yes,no,cellular,aug,wed,345.0,7.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
40,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,951.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
57,retired,single,professional.course,no,yes,no,telephone,may,mon,188.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,admin,single,unknown,no,no,no,cellular,mar,tue,128.0,1.0,3,1,success,-1.8,93.369,-34.8,0.637,5008.7,yes
52,blue-collar,married,basic.9y,no,no,no,cellular,aug,fri,809.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
34,management,married,university.degree,no,yes,yes,telephone,jun,wed,192.0,1.0,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
42,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,154.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,technician,married,unknown,no,yes,no,telephone,jun,fri,17.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
45,management,married,basic.4y,unknown,yes,no,telephone,may,fri,100.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
56,retired,married,high.school,no,no,no,cellular,may,mon,317.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
41,management,married,university.degree,no,yes,no,cellular,may,thu,93.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
44,admin,married,high.school,no,yes,no,cellular,aug,fri,111.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,293.0,3.0,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes
54,self-employed,married,high.school,no,no,no,cellular,aug,tue,119.0,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
51,blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,393.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
30,blue-collar,single,basic.9y,no,no,no,cellular,nov,wed,30.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
42,housemaid,married,basic.4y,unknown,yes,no,telephone,jun,fri,38.0,8.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
41,technician,married,professional.course,unknown,yes,no,telephone,jun,mon,442.0,11.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
47,services,single,basic.9y,no,no,no,cellular,nov,tue,187.0,2.0,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
